Product Name,Manufacturer,Date Last Verified,Revision Date,CAS #,Product Code,Supplier,Document ID,Custom 1,Custom 2,Date Modified,Date Added,Added By,Regulatory Formats,Added To Queue By,Status,Language,UN/NA #,Approval,Approval Number
Simple Green Industrial Cleaner & Degreaser,"Sunshine Makers, Inc.",10/8/2025 12:00:00 AM,3/12/2024 12:00:00 AM,,"043318130229, 043318000034, 043318130328, 043318000003, 043318001253, 043318480416, 043318000003, 043318000041, 043318000010, 043318000027, 043318000225, 043318130663, 0433180000102",,148963052,,,2/27/2026,4/2/2024,Michael Maine,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
DAMP MOP,"Spartan Chemical Company, Inc.",4/15/2026 12:00:00 AM,1/23/2024 12:00:00 AM,,"3016, 753727014279",,148572902,,,9/30/2024,2/12/2024,Connie Muncy,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
"CITGO No. 2 Diesel Fuel, All Grades, Low Sulfur",CITGO Petroleum Corporation,1/7/2026 12:00:00 AM,8/17/2023 12:00:00 AM,,,,148228218,,,3/4/2026,1/3/2024,Carolina Ayala,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
DOWFROST Heat Transfer Fluid,The Dow Chemical Company,8/21/2024 12:00:00 AM,7/13/2021 12:00:00 AM,57-55-6,38707,,148067253,,,12/13/2023,12/13/2023,Jamie Penicook,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
"Skilcraft Power Duster II, 10 oz",LHB INDUSTRIES,2/13/2026 12:00:00 AM,3/13/2023 12:00:00 AM,811-97-2,"0894-011, 0894-014, 6850-01-517-1506, 6850-01-412-0040",,145923688,,,4/18/2023,4/18/2023,Connie Muncy,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
Non-Spillable Lead Acid Battery,EnerSys,4/1/2026 12:00:00 AM,1/10/2023 12:00:00 AM,,,,145631473,,,12/4/2023,3/20/2023,Connie Muncy,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
Citrisurf 2310,Stellar Solutions Inc,8/1/2020 12:00:00 AM,8/1/2020 12:00:00 AM,77-92-9,,,145266282,,,1/31/2023,1/30/2023,Jamie Penicook,"United States, Globally Harmonized System (GHS) ",Jamie Penicook,In Use,English,,Approved,
Propylene Glycol USP/EP,"Univar Solutions USA, Inc.",9/1/2019 12:00:00 AM,9/1/2019 12:00:00 AM,57-55-6,"16118017, 16118016, 16118015","Univar Solutions USA, Inc.",143979816,,,8/29/2022,8/26/2022,Jamie Penicook,"United States, Globally Harmonized System (GHS) ",Jamie Penicook,In Use,English,,Approved,
MOBIL DTE OIL MEDIUM,Exxon Mobil Corporation,4/4/2024 12:00:00 AM,1/16/2020 12:00:00 AM,,"201560501570, 600155-00, 970391, 600155, 6001558000, 98K995, 1039078000, ISO 46",,50262286,O-0689,,12/4/2023,8/25/2022,Derek Penny,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
MOBIL DTE 746,Exxon Mobil Corporation,2/1/2024 12:00:00 AM,1/3/2020 12:00:00 AM,,"201560302017, 607226-00, 97AS86",,51769717,,,8/25/2022,8/25/2022,Connie Muncy,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
MOBIL DELVAC 1300 SUPER 15W-40,Exxon Mobil Corporation,4/16/2024 12:00:00 AM,11/19/2021 12:00:00 AM,,"201520403560, 440693-00, 970529, 071924448193, 1126908001",,141544561,,,12/1/2025,8/25/2022, VelocityEHS,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
SODIUM HYPOCHLORITE 12.5%,"Brenntag Pacific, Inc.",10/16/2019 12:00:00 AM,10/16/2019 12:00:00 AM,,,,49279574,,,1/11/2022,1/11/2022,Carolina Ayala,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
SODIUM BISULFITE SOLUTION,UNIVAR,1/9/2015 12:00:00 AM,1/9/2015 12:00:00 AM,7631-90 -5,,,50795603,,,1/11/2022,1/11/2022,Carolina MSDSonline,"United States, Canada, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
MOBIL SHC 630,Exxon Mobil Corporation,4/15/2024 12:00:00 AM,4/28/2021 12:00:00 AM,,"201560500550, 602953-00, 970782, 241080, 110843, 1108435001, 6029535000, 110844, 1108448001",Exxon Mobil Corporation,139355915,O-0703,,8/28/2024,8/25/2022, VelocityEHS,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
MOBIL SHC 632,Exxon Mobil Corporation,4/4/2024 12:00:00 AM,4/28/2021 12:00:00 AM,,"201560500560, 602987-00, 970854, 6029875000, 110847, 1108478001",,139502100,,,12/13/2023,8/25/2022, VelocityEHS,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
